code,name,price,gender,summary,color_name,series_list,series_img_list,size_list,media_list,info_long,size_img,image_big,information
150249C,척테일러 올스타 컷어웨이,45000,여성,여름 준비 필수 아이템 척테일러 슬립온 샌들,네이비,"['150249C#','150247C']","['https://image.converse.co.kr/cmsstatic/product/150249C_150249C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150247C_150247C_pdp-option.jpg?browse=']","['220','225','230','235','240','245','250','255','260','265','270']","['https://image.converse.co.kr/cmsstatic/product/150249C_150249C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/150249C_150249C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150249C_150249C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150249C_150249C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150249C_150249C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150249C_150249C_06.jpg?browse=']","['계절과 관계 없이 척테일러를 즐기고 싶다면,클래식 척테일러 디자인에서 영감 받아 제작된 척테일러 올스타 컷어웨이 EVO를 추천합니다. 여름에도 시원하게 착용이 가능한 캔버스 슬립온 샌들에 레이스업 디자인을 추가하여 완성된 제품입니다.','* 슬립온 캔버스 샌들','* 클래식한 다이아몬드 패턴 아웃솔','* 클래식한 척테일러 룩을 완성하는 레이스업(lace-up) 디자인','* 표준 우븐 라벨 및 힐 패치']",,http://tcakorea.speedgabia.com/converse/SU20/150249C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 폴리에스터 70%,면 30%','색상': '네이비','치수': '220-270','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
150247C,척테일러 올스타 컷어웨이,45000,여성,여름 준비 필수 아이템 척테일러 슬립온 샌들,블랙,"['150247C#','150249C']","['https://image.converse.co.kr/cmsstatic/product/150247C_150247C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150249C_150249C_pdp-option.jpg?browse=']",['Free Size'],"['https://image.converse.co.kr/cmsstatic/product/150247C_150247C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/150247C_150247C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150247C_150247C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150247C_150247C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150247C_150247C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/150247C_150247C_06.jpg?browse=']","['계절과 관계 없이 척테일러를 즐기고 싶다면,클래식 척테일러 디자인에서 영감 받아 제작된 척테일러 올스타 컷어웨이 EVO를 추천합니다. 여름에도 시원하게 착용이 가능한 캔버스 슬립온 샌들에 레이스업 디자인을 추가하여 완성된 제품입니다.','* 슬립온 캔버스 샌들','* 클래식한 다이아몬드 패턴 아웃솔','* 클래식한 척테일러 룩을 완성하는 레이스업(lace-up) 디자인','* 표준 우븐 라벨 및 힐 패치']",,http://tcakorea.speedgabia.com/converse/SU20/150247C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 폴리에스터 70%,면 30%','색상': '블랙','치수': '220-270','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
567723C,원스타 슬라이드,45000,여성,,스트릿세이지,"['567723C#','564143C']","['https://image.converse.co.kr/cmsstatic/product/567723C_567723C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/564143C_564143C_pdp-option.jpg?browse=']","['220','225','230','235','240','245','250','260','270']","['https://image.converse.co.kr/cmsstatic/product/567723C_567723C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/567723C_567723C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/567723C_567723C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/567723C_567723C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/567723C_567723C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/567723C_567723C_6.jpg?browse=']","['2020년 여름을 맞이하여 슬립온 샌들 스타일의 슈즈 원스타 샌들을 출시합니다. 클래식 컨버스 원스타 실루엣을 재해석하여 탄생한 제품으로,스웨이드 크로스 스트랩과 부드러운 메모리 폼이 특징입니다. 앞 뒤가 뚫린 실루엣이지만 편안하고 안정적인 착화감을 자랑합니다.','* 스웨이드 크로스 스트랩 어퍼','* 미끄럼 방지 풋베드','* 편안한 착화감을 제공하는 메모리폼','* 안정적인 지지와 쿠션감을 위한 EVA 레이어 층']",,http://tcakorea.speedgabia.com/converse/SU20/567723C.jpg,"{'제품소재': '겉감: 천연가죽(소가죽) 98%,합성가죽(폴리우레탄) 2%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%','색상': '스트릿세이지','치수': '220-270','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
564143C,원스타 슬라이드,45000,여성,,블랙,"['564143C#','567723C']","['https://image.converse.co.kr/cmsstatic/product/564143C_564143C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/567723C_567723C_pdp-option.jpg?browse=']","['220','225','230','235','240','245','250','260','270']","['https://image.converse.co.kr/cmsstatic/product/564143C_564143C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/564143C_564143C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/564143C_564143C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/564143C_564143C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/564143C_564143C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/564143C_564143C_6.jpg?browse=']","['2020년 여름을 맞이하여 슬립온 샌들 스타일의 슈즈 원스타 샌들을 출시합니다. 클래식 컨버스 원스타 실루엣을 재해석하여 탄생한 제품으로,스웨이드 크로스 스트랩과 부드러운 메모리 폼이 특징입니다. 앞 뒤가 뚫린 실루엣이지만 편안하고 안정적인 착화감을 자랑합니다.','* 스웨이드 크로스 스트랩 어퍼','* 미끄럼 방지 풋베드','* 편안한 착화감을 제공하는 메모리폼','* 안정적인 지지와 쿠션감을 위한 EVA 레이어 층']",,http://tcakorea.speedgabia.com/converse/SU20/564143C.jpg,"{'제품소재': '겉감: 천연가죽(소가죽) 98%,합성가죽(폴리우레탄) 2%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%','색상': '블랙','치수': '220-270','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
167677C,척 70 컨크리트 히트,95000,여성,통풍이 용이한 프리미엄 메쉬 스니커즈,일렉트릭블러쉬,"['167677C#','167678C']","['https://image.converse.co.kr/cmsstatic/product/167677C_167677C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167678C_167678C_pdp-option.jpg?browse=']","['220','225','230','235','240','245','250']","['https://image.converse.co.kr/product/167677C_167677C_01.mp4','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_06.jpg?browse=']","['당대 최고의 디테일과 프리미엄 소재를 사용해 흠잡을 데 없는 장인정신으로 제작한 척 70은 지금도 컨버스 대표 아이콘으로써 그 명목이 이어져오고 있습니다. 클래식한 캔버스 소재에 통기성이 좋은 메쉬 소재디테일의 조합으로 더운 여름에도 날씨에 구애받지 않고 착용할 수 있습니다.','* 프리미엄 캔버스와 메쉬 소재 사용','* 하루종일 편안한 착화감을 제공하는 강화된 쿠셔닝','* 샤이니 러버 미드솔']",,http://tcakorea.speedgabia.com/converse/SU20/167677C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '일렉트릭블러쉬','치수': '220-250','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
167678C,척 70 컨크리트 히트,89000,여성,통풍이 용이한 프리미엄 메쉬 스니커즈,화이트,"['167678C#','167677C']","['https://image.converse.co.kr/cmsstatic/product/167678C_167678C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167677C_167677C_pdp-option.jpg?browse=']","['220','225','230','235','240','245','250']","['https://image.converse.co.kr/cmsstatic/product/167678C_167678C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/167678C_167678C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167678C_167678C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167678C_167678C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167678C_167678C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167678C_167678C_6.jpg?browse=']","['당대 최고의 디테일과 프리미엄 소재를 사용해 흠잡을 데 없는 장인정신으로 제작한 척 70은 지금도 컨버스 대표 아이콘으로써 그 명목이 이어져오고 있습니다. 클래식한 캔버스 소재에 통기성이 좋은 메쉬 소재로 제작된 텅의 조합으로 더운 여름에도 날씨에 구애받지 않고 착용할 수 있습니다.','* 프리미엄 캔버스와 메쉬 소재 사용','* 하루종일 편안한 착화감을 제공하는 강화된 쿠셔닝','* 샤이니 러버 미드솔']",,http://tcakorea.speedgabia.com/converse/SU20/167678C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '화이트','치수': '220-250','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
167596C,척테일러 올스타 사이키델릭 훕,75000,남녀공용,눈길을 사로잡는 그라데이션 디테일,게임로얄,"['167596C#','167593C','167592C']","['https://image.converse.co.kr/cmsstatic/product/167596C_167596C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_pdp-option.jpg?browse=']","['220','230','240','250','260','270','280']","['https://image.converse.co.kr/cmsstatic/product/167596C_167596C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_6.jpg?browse=']","['그라데이션 디테일이 적용되어 컬러감이 더욱 돋보이는 척테일러 올스타 사이키델릭 훕을 소개합니다. 활기찬 밝은 네온 컬러 스니커즈로 여름 패션에 완성도를 더해보세요.','* 폴리에스테르 소재 어퍼 적용','* 밝은 네온 컬러를 그라데이션 기법으로 표현','* 스탠다드 우븐 텅 라벨']",,http://tcakorea.speedgabia.com/converse/SU20/167596C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%','색상': '게임로얄','치수': '220-280','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
167592C,척테일러 올스타 사이키델릭 훕,79000,남녀공용,눈길을 사로잡는 그라데이션 디테일,멀티,"['167592C#','167593C','167596C']","['https://image.converse.co.kr/cmsstatic/product/167592C_167592C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_pdp-option.jpg?browse=']","['220','230','240','250','260','270','280']","['https://image.converse.co.kr/cmsstatic/product/167592C_167592C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_6.jpg?browse=']","['그라데이션 디테일이 적용되어 컬러감이 더욱 돋보이는 척테일러 올스타 사이키델릭 훕을 소개합니다. 활기찬 밝은 네온 컬러 스니커즈로 여름 패션에 완성도를 더해보세요.','* 폴리에스테르 소재 어퍼 적용','* 밝은 네온 컬러를 그라데이션 기법으로 표현','* 아이코닉한 척테일러 앵클 패치']",,http://tcakorea.speedgabia.com/converse/SU20/167592C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%','색상': '멀티','치수': '220-280','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
167593C,척테일러 올스타 사이키델릭 훕,79000,남녀공용,눈길을 사로잡는 그라데이션 디테일,블랙,"['167593C#','167592C','167596C']","['https://image.converse.co.kr/cmsstatic/product/167593C_167593C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167592C_167592C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167596C_167596C_pdp-option.jpg?browse=']","['220','230','240','250','260','270','280']","['https://image.converse.co.kr/cmsstatic/product/167593C_167593C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167593C_167593C_6.jpg?browse=']","['그라데이션 디테일이 적용되어 컬러감이 더욱 돋보이는 척테일러 올스타 사이키델릭 훕을 소개합니다. 활기찬 밝은 네온 컬러 스니커즈로 여름 패션에 완성도를 더해보세요.','* 폴리에스테르 소재 어퍼 적용','* 밝은 네온 컬러를 그라데이션 기법으로 표현','* 아이코닉한 척테일러 앵클 패치']",,http://tcakorea.speedgabia.com/converse/SU20/167593C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%','색상': '블랙','치수': '220-280','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
167645C,척 70 해피 캠퍼,89000,남성,에너지 넘치는 여름 컬러의 척 70,에그렛,"['167645C#','167642C']","['https://image.converse.co.kr/cmsstatic/product/167645C_167645C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167642C_167642C_pdp-option.jpg?browse=']","['220','230','240','250','260','270','280']","['https://image.converse.co.kr/product/167645C_167645C_01.mp4','https://image.converse.co.kr/cmsstatic/product/167645C_167645C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/167645C_167645C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167645C_167645C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167645C_167645C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167645C_167645C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/167645C_167645C_06.jpg?browse=']","['당대 최고의 디테일과 프리미엄 소재를 사용해 흠잡을 데 없는 장인정신으로 제작한 척 70은 지금도 컨버스 대표 아이콘으로써 그 명목이 이어져오고 있습니다. 편안하고 기분 좋은 패션을 완성하는 척 70 해피 캠퍼는 활기찬 컬러의 어퍼를 적용해 밝고 행복한 분위기를 자아냅니다.','* 가벼우면서도 견고한 캔버스 소재 어퍼','* 하루종일 편안한 착화감을 제공하는 강화된 쿠셔닝','* 컬러풀한 디자인에 적용된 어퍼 전면의 스마일 패턴']",,http://tcakorea.speedgabia.com/converse/SU20/167645C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '에그렛','치수': '220-280','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
