product_codes,silhouette
167677C,HIGH
167592C,HIGH
167593C,HIGH
167910C,HIGH
167911C,HIGH
167912C,HIGH
167709C,HIGH
166324C,HIGH
165907C,HIGH
166804C,HIGH
167669C,HIGH
168279C,HIGH
167821C,HIGH
167629C,HIGH
167936C,HIGH
167862C,HIGH
167700C,HIGH
167643C,HIGH
167644C,HIGH
167749C,HIGH
167966C,HIGH
167963C,HIGH
162054C,HIGH
567155C,HIGH
567309C,HIGH
162350C,HIGH
162351C,HIGH
163343C,HIGH
567991C,HIGH
567100C,HIGH
166712C,HIGH
167071C,HIGH
167072C,HIGH
167347C,HIGH
567143C,HIGH
167345C,HIGH
167067C,HIGH
167068C,HIGH
167069C,HIGH
166854C,HIGH
166853C,HIGH
166855C,HIGH
167043C,HIGH
167044C,HIGH
166747C,HIGH
166740C,HIGH
166741C,HIGH
166702C,HIGH
167106C,HIGH
167967C,HIGH
166849C,HIGH
166850C,HIGH
166827C,HIGH
166826C,HIGH
167329C,HIGH
167327C,HIGH
164947C,HIGH
164945C,HIGH
164946C,HIGH
164944C,HIGH
162056C,HIGH
162053C,HIGH
162050C,HIGH
M3310C,HIGH
M9622C,HIGH
M9621C,HIGH
M7650C,HIGH
M9160C,HIGH
167678C,LOW
167596C,LOW
167645C,LOW
167642C,LOW
167830C,LOW
167827C,LOW
167826C,LOW
167702C,LOW
167915C,LOW
167708C,LOW
564981C,LOW
564982C,LOW
167297C,LOW
167854C,LOW
167853C,LOW
167866C,LOW
567686C,LOW
567685C,LOW
167673C,LOW
168293C,LOW
167622C,LOW
167621C,LOW
166709C,LOW
166708C,LOW
167235C,LOW
167633C,LOW
167819C,LOW
167935C,LOW
167631C,LOW
167937C,LOW
168133C,LOW
167707C,LOW
167706C,LOW
167813C,LOW
167810C,LOW
167811C,LOW
167812C,LOW
167701C,LOW
167703C,LOW
167239C,LOW
167238C,LOW
567855C,LOW
167646C,LOW
167647C,LOW
167750C,LOW
167324C,LOW
164057C,LOW
164056C,LOW
162063C,LOW
566751C,LOW
567157C,LOW
567311C,LOW
167322C,LOW
167323C,LOW
567992C,LOW
567101C,LOW
166838C,LOW
166839C,LOW
166713C,LOW
166861C,LOW
167970C,LOW
167971C,LOW
167346C,LOW
167237C,LOW
166725C,LOW
166726C,LOW
166749C,LOW
166745C,LOW
166744C,LOW
166703C,LOW
M9166C,LOW
167326C,LOW
166851C,LOW
166825C,LOW
166824C,LOW
167051C,LOW
M9696C,LOW
165742C,LOW
165741C,LOW
164225C,LOW
164224C,LOW
164952C,LOW
164950C,LOW
164951C,LOW
164949C,LOW
161577C,LOW
158369C,LOW
162065C,LOW
162062C,LOW
162058C,LOW
M5039C,LOW
M9697C,LOW
M7652C,LOW
167817C,MID
167805C,MID
167804C,MID
166810C,MID
167291C,MID
167292C,MID
167058C,MID
166809C,MID
167061C,MID
166813C,MID
166812C,MID
166803C,MID
565062C,MID
563456C,PLATFORM
567847C,PLATFORM
567865C,PLATFORM
563457C,PLATFORM
560251C,PLATFORM
566766C,PLATFORM
567105C,PLATFORM
150249C,SLIP
150247C,SLIP
567723C,SLIP
564143C,SLIP
537081C,SLIP
537084C,SLIP
767576C,HIGH
3J232C,HIGH
3J253C,HIGH
3J231C,HIGH
767531C,HIGH
766889C,HIGH
767203C,HIGH
3J235C,LOW
3J256C,LOW
3J236C,LOW
767899C,LOW
768147C,LOW
768146C,LOW
368145C,LOW
368144C,LOW
663635C,LOW
767338C,LOW
766892C,LOW
767205C,LOW
866933C,LOW
865158C,LOW
865157C,LOW
865156C,LOW
763537C,LOW
763536C,LOW
663634C,LOW
767559C,SLIP
767560C,SLIP
667557C,SLIP
667558C,SLIP
