product_code,size_id
150249C,20
150249C,21
150249C,22
150249C,23
150249C,24
150249C,25
150249C,26
150249C,27
150249C,28
150249C,29
150249C,30
150247C,38
567723C,20
567723C,21
567723C,22
567723C,23
567723C,24
567723C,25
567723C,26
567723C,28
567723C,30
564143C,20
564143C,21
564143C,22
564143C,23
564143C,24
564143C,25
564143C,26
564143C,28
564143C,30
167677C,20
167677C,21
167677C,22
167677C,23
167677C,24
167677C,25
167677C,26
167678C,20
167678C,21
167678C,22
167678C,23
167678C,24
167678C,25
167678C,26
167596C,20
167596C,22
167596C,24
167596C,26
167596C,28
167596C,30
167596C,32
167592C,20
167592C,22
167592C,24
167592C,26
167592C,28
167592C,30
167592C,32
167593C,20
167593C,22
167593C,24
167593C,26
167593C,28
167593C,30
167593C,32
167645C,20
167645C,22
167645C,24
167645C,26
167645C,28
167645C,30
167645C,32
167642C,20
167642C,22
167642C,24
167642C,26
167642C,28
167642C,30
167642C,32
167830C,20
167830C,22
167830C,24
167830C,26
167830C,28
167830C,30
167830C,32
167827C,20
167827C,22
167827C,24
167827C,26
167827C,28
167827C,30
167827C,32
167827C,34
167826C,20
167826C,22
167826C,24
167826C,26
167826C,28
167826C,30
167826C,32
167826C,34
167702C,20
167702C,22
167702C,24
167702C,26
167702C,28
167702C,30
167702C,32
167702C,34
167910C,22
167910C,24
167910C,26
167910C,28
167910C,30
167910C,32
167911C,22
167911C,24
167911C,26
167911C,28
167911C,30
167911C,32
167915C,22
167915C,24
167915C,26
167915C,28
167915C,30
167915C,32
167912C,20
167912C,22
167912C,24
167912C,26
167912C,28
167912C,30
167912C,32
167912C,34
167708C,20
167708C,22
167708C,24
167708C,26
167708C,28
167708C,30
167708C,32
167708C,34
167709C,20
167709C,22
167709C,24
167709C,26
167709C,28
167709C,30
167709C,32
167709C,34
564981C,20
564981C,21
564981C,22
564981C,23
564981C,24
564981C,25
564981C,26
563456C,20
563456C,21
563456C,22
563456C,23
563456C,24
563456C,25
563456C,26
564982C,20
564982C,21
564982C,22
564982C,23
564982C,24
564982C,25
564982C,26
166324C,26
166324C,28
166324C,30
166324C,32
165907C,26
165907C,28
165907C,30
165907C,32
167297C,28
167297C,30
167297C,32
167297C,34
166804C,28
166804C,30
166804C,32
166804C,34
167854C,22
167854C,24
167854C,26
167854C,28
167854C,30
167854C,32
167854C,34
167853C,22
167853C,24
167853C,26
167853C,28
167853C,30
167853C,32
167853C,34
167866C,20
167866C,22
167866C,24
167866C,26
567686C,20
567686C,21
567686C,22
567686C,23
567686C,24
567686C,25
567686C,26
567685C,20
567685C,21
567685C,22
567685C,23
567685C,24
567685C,25
567685C,26
167673C,20
167673C,21
167673C,22
167673C,23
167673C,24
167673C,25
167673C,26
167673C,28
167673C,30
167673C,32
167669C,20
167669C,21
167669C,22
167669C,23
167669C,24
167669C,25
167669C,26
167669C,28
167669C,30
167669C,32
168293C,20
168293C,22
168293C,24
168293C,26
168293C,28
168293C,30
168293C,32
168279C,20
168279C,22
168279C,24
168279C,26
168279C,28
168279C,30
168279C,32
167622C,26
167622C,28
167622C,30
167622C,32
167621C,22
167621C,24
167621C,26
167621C,28
167621C,30
167621C,32
166709C,20
166709C,21
166709C,22
166709C,23
166709C,24
166709C,25
166709C,26
166709C,28
166709C,30
166708C,38
167235C,20
167235C,21
167235C,22
167235C,23
167235C,24
167235C,25
167235C,26
167633C,20
167633C,21
167633C,22
167633C,23
167633C,24
167633C,25
167633C,26
167819C,22
167819C,24
167819C,26
167819C,28
167819C,30
167819C,32
167819C,34
167821C,22
167821C,24
167821C,26
167821C,28
167821C,30
167821C,32
167821C,34
167935C,26
167935C,28
167935C,30
167935C,32
167935C,34
167631C,20
167631C,21
167631C,22
167631C,23
167631C,24
167631C,25
167631C,26
167629C,20
167629C,22
167629C,24
167629C,26
167629C,28
167629C,30
167629C,32
167817C,28
167817C,30
167817C,32
167817C,34
167936C,28
167936C,30
167936C,32
167936C,34
167937C,28
167937C,30
167937C,32
167937C,34
168133C,26
168133C,28
168133C,30
168133C,32
168133C,34
167805C,22
167805C,24
167805C,26
167805C,28
167805C,30
167805C,32
167805C,34
167804C,22
167804C,24
167804C,26
167804C,28
167804C,30
167804C,32
167804C,34
167707C,20
167707C,22
167707C,24
167707C,26
167707C,28
167707C,30
167707C,32
167707C,34
167706C,20
167706C,22
167706C,24
167706C,26
167706C,28
167706C,30
167706C,32
167706C,34
537081C,38
537084C,38
167813C,20
167813C,21
167813C,22
167813C,23
167813C,24
167813C,25
167813C,26
167813C,27
167813C,28
167813C,29
167813C,30
167813C,31
167813C,32
167813C,33
167813C,34
567847C,38
567865C,20
567865C,22
567865C,24
567865C,26
167810C,20
167810C,22
167810C,24
167810C,26
167810C,28
167810C,30
167810C,32
167811C,20
167811C,22
167811C,24
167811C,26
167811C,28
167811C,30
167811C,32
167811C,34
167812C,20
167812C,22
167812C,24
167812C,26
167812C,28
167812C,30
167812C,32
167812C,34
167862C,20
167862C,22
167862C,26
167862C,28
167862C,30
167862C,32
167862C,34
167701C,20
167701C,22
167701C,24
167701C,26
167701C,28
167701C,30
167701C,32
167701C,34
167703C,20
167703C,22
167703C,24
167703C,26
167703C,28
167703C,30
167703C,32
167703C,34
167700C,20
167700C,22
167700C,24
167700C,26
167700C,28
167700C,30
167700C,32
167700C,34
167239C,22
167239C,24
167239C,26
167239C,28
167239C,30
167239C,32
167239C,34
167238C,22
167238C,24
167238C,26
167238C,28
167238C,30
167238C,32
167238C,34
567855C,20
567855C,21
567855C,22
567855C,23
567855C,24
567855C,25
567855C,26
165024C,20
165024C,21
165024C,22
165024C,23
165024C,24
165024C,25
165024C,26
165024C,27
165024C,28
165024C,29
165024C,30
165024C,31
165024C,32
165024C,33
165024C,34
164301C,20
164301C,21
164301C,22
164301C,23
164301C,24
164301C,25
164301C,26
164301C,27
164301C,28
164301C,29
164301C,30
164301C,31
164301C,32
164300C,20
164300C,21
164300C,22
164300C,23
164300C,24
164300C,25
164300C,26
164300C,27
164300C,28
164300C,29
164300C,30
164300C,31
164300C,32
163407C,20
163407C,22
163407C,24
163407C,26
163407C,28
163407C,30
163407C,32
163407C,34
563457C,20
563457C,21
563457C,22
563457C,23
563457C,24
563457C,25
563457C,26
560251C,38
167643C,20
167643C,22
167643C,28
167643C,30
167643C,32
167643C,34
167646C,38
167647C,20
167647C,22
167647C,24
167647C,26
167647C,28
167647C,30
167647C,32
167647C,34
167644C,38
167750C,38
167749C,20
167749C,22
167749C,24
167749C,26
167749C,28
167749C,30
167749C,32
167749C,34
167324C,20
167324C,21
167324C,22
167324C,23
167324C,24
167324C,25
167324C,26
167324C,27
167324C,28
167324C,29
167324C,30
167324C,31
167324C,32
167324C,33
167324C,34
167324C,35
167324C,36
167966C,38
167963C,20
167963C,22
167963C,24
167963C,26
167963C,28
167963C,30
167963C,32
167963C,34
164057C,20
164057C,21
164057C,22
164057C,23
164057C,24
164057C,25
164057C,26
164057C,27
164057C,28
164057C,29
164057C,30
164057C,31
164057C,32
164057C,33
164057C,34
164057C,36
164056C,20
164056C,21
164056C,22
164056C,23
164056C,24
164056C,25
164056C,26
164056C,27
164056C,28
164056C,29
164056C,30
164056C,31
164056C,32
164056C,33
164056C,34
164056C,36
162054C,20
162054C,21
162054C,22
162054C,23
162054C,24
162054C,25
162054C,26
162054C,27
162054C,28
162054C,29
162054C,30
162054C,31
162054C,32
162054C,33
162063C,20
162063C,21
162063C,22
162063C,23
162063C,24
162063C,25
162063C,26
162063C,27
162063C,28
162063C,29
162063C,30
162063C,31
162063C,32
162063C,33
162063C,34
566751C,20
566751C,21
566751C,22
566751C,23
566751C,24
566751C,25
566751C,26
567157C,20
567157C,21
567157C,22
567157C,23
567157C,24
567157C,25
567311C,20
567311C,21
567311C,22
567311C,23
567311C,24
567311C,25
567155C,20
567155C,21
567155C,22
567155C,23
567155C,24
567155C,25
567309C,20
567309C,21
567309C,22
567309C,23
567309C,24
567309C,25
166810C,20
166810C,22
166810C,24
166810C,26
166810C,28
166810C,30
166810C,32
166810C,34
167291C,26
167291C,28
167291C,30
167291C,32
167292C,26
167292C,28
167292C,30
167292C,32
162350C,20
162350C,22
162350C,24
162350C,26
162350C,28
162350C,30
162350C,32
162350C,34
162351C,20
162351C,22
162351C,24
162351C,26
162351C,30
162351C,32
162351C,34
163343C,20
163343C,22
163343C,24
163343C,26
163343C,28
163343C,30
163343C,32
163343C,34
167322C,20
167322C,22
167322C,24
167322C,26
167323C,20
167323C,22
167323C,24
167323C,26
567992C,20
567992C,21
567992C,22
567992C,23
567992C,24
567992C,25
567992C,26
567991C,38
567101C,20
567101C,21
567101C,22
567101C,23
567101C,24
567101C,25
567101C,26
567100C,20
567100C,21
567100C,22
567100C,23
567100C,24
567100C,25
567100C,26
566766C,38
166838C,20
166838C,22
166838C,24
166838C,26
166838C,28
166838C,30
166838C,32
166839C,20
166839C,22
166839C,24
166839C,26
166839C,28
166839C,30
166839C,32
166713C,38
166712C,22
166712C,24
166712C,26
166712C,28
166712C,30
166712C,32
166712C,34
167058C,22
167058C,24
167058C,26
167058C,28
167058C,30
167058C,32
166809C,22
166809C,24
166809C,26
166809C,28
166809C,30
166809C,32
167071C,20
167071C,22
167071C,24
167071C,26
167071C,28
167071C,30
167071C,32
167071C,34
167061C,22
167061C,24
167061C,26
167061C,28
167061C,30
167061C,32
167072C,20
167072C,22
167072C,24
167072C,26
167072C,28
167072C,30
167072C,32
167072C,34
166861C,38
167970C,20
167970C,22
167970C,24
167970C,26
167970C,28
167970C,30
167970C,32
167970C,34
167971C,20
167971C,22
167971C,24
167971C,26
167971C,28
167971C,30
167971C,32
167971C,34
167347C,20
167347C,21
167347C,22
167347C,23
167347C,24
167347C,25
167347C,26
567143C,38
167345C,20
167345C,21
167345C,22
167345C,23
167345C,24
167345C,25
167345C,26
167346C,20
167346C,22
167346C,24
167346C,26
167346C,28
167346C,30
167346C,32
167067C,38
167068C,20
167068C,22
167068C,24
167068C,26
167068C,28
167068C,30
167068C,32
167069C,20
167069C,22
167069C,24
167069C,26
167069C,28
167069C,30
167069C,32
166813C,22
166813C,24
166813C,26
166813C,28
166813C,30
166813C,32
166813C,34
166812C,22
166812C,24
166812C,26
166812C,28
166812C,30
166812C,32
166812C,34
167237C,20
167237C,22
167237C,24
167237C,26
167237C,28
167237C,30
167237C,32
167237C,34
166854C,20
166854C,22
166854C,24
166854C,26
166854C,28
166854C,30
166854C,32
166854C,34
166853C,20
166853C,22
166853C,24
166853C,26
166853C,28
166853C,30
166853C,32
166855C,20
166855C,22
166855C,24
166855C,26
166855C,28
166855C,30
166855C,32
166855C,34
166725C,20
166725C,22
166725C,24
166725C,26
166725C,28
166725C,30
166725C,32
166726C,20
166726C,22
166726C,24
166726C,26
166726C,28
166726C,30
166726C,32
167043C,20
167043C,22
167043C,24
167043C,26
167043C,28
167043C,30
167044C,20
167044C,22
167044C,24
167044C,26
167044C,28
167044C,30
166749C,26
166749C,28
166749C,30
166749C,32
166749C,34
166747C,20
166747C,22
166747C,24
166747C,26
166747C,28
166747C,30
166747C,32
166747C,34
567105C,38
166745C,20
166745C,22
166745C,24
166745C,26
166745C,28
166745C,30
166745C,32
166745C,34
166744C,20
166744C,22
166744C,24
166744C,26
166744C,28
166744C,30
166744C,32
166744C,34
166740C,20
166740C,22
166740C,24
166740C,26
166740C,28
166740C,30
166740C,32
166741C,38
166703C,20
166703C,22
166703C,24
166703C,26
166703C,28
166703C,30
166703C,32
166703C,34
166702C,20
166702C,22
166702C,24
166702C,26
166702C,28
166702C,30
166702C,32
166702C,34
167106C,20
167106C,22
167106C,24
167106C,26
167106C,28
167106C,30
167106C,32
167106C,34
M9166C,20
M9166C,21
M9166C,22
M9166C,23
M9166C,24
M9166C,25
M9166C,26
M9166C,27
M9166C,28
M9166C,29
M9166C,30
M9166C,31
M9166C,32
M9166C,33
M9166C,34
M9166C,35
M9166C,36
167326C,22
167326C,24
167326C,26
167326C,28
167326C,30
167326C,32
167967C,20
167967C,22
167967C,24
167967C,26
167967C,28
167967C,30
167967C,32
166851C,20
166851C,22
166851C,24
