product_codes,silhouette
167677C,HIGH
167592C,HIGH
167593C,HIGH
167910C,HIGH
167911C,HIGH
167912C,HIGH
167709C,HIGH
166324C,HIGH
165907C,HIGH
166804C,HIGH
167669C,HIGH
168279C,HIGH
167821C,HIGH
167629C,HIGH
167936C,HIGH
167862C,HIGH
167700C,HIGH
167643C,HIGH
167644C,HIGH
167749C,HIGH
167678C,LOW
167596C,LOW
167645C,LOW
167642C,LOW
167830C,LOW
167827C,LOW
167826C,LOW
167702C,LOW
167915C,LOW
167708C,LOW
564981C,LOW
564982C,LOW
167297C,LOW
167854C,LOW
167853C,LOW
167866C,LOW
567686C,LOW
567685C,LOW
167673C,LOW
168293C,LOW
167817C,MID
167805C,MID
167804C,MID
166810C,MID
167291C,MID
167292C,MID
167058C,MID
166809C,MID
167061C,MID
166813C,MID
166812C,MID
166803C,MID
565062C,MID
563456C,PLATFORM
567847C,PLATFORM
567865C,PLATFORM
563457C,PLATFORM
560251C,PLATFORM
566766C,PLATFORM
567105C,PLATFORM
150249C,SLIP
150247C,SLIP
567723C,SLIP
564143C,SLIP
537081C,SLIP
537084C,SLIP
3J232C,HIGH
3J253C,HIGH
3J231C,HIGH
767531C,HIGH
766889C,HIGH
767203C,HIGH
3J235C,LOW
3J256C,LOW
3J236C,LOW
767899C,LOW
768147C,LOW
768146C,LOW
368145C,LOW
368144C,LOW
663635C,LOW
767338C,LOW
766892C,LOW
767205C,LOW
866933C,LOW
865158C,LOW
865157C,LOW
865156C,LOW
763537C,LOW
763536C,LOW
663634C,LOW
767559C,SLIP
767560C,SLIP
667557C,SLIP
667558C,SLIP
